code,name,hex,family
NBQ-E400-BLACK,Negro,#1C1C1C,negros
NBQ-E400-WHITE,Blanco,#FFFFFF,blancos
NBQ-E400-SILVER,Plata,#B0B0B0,grises
NBQ-E400-GOLD,Oro,#BF9A5B,amarillos
